cell	devTime	raw_annotation	pred_annotation	sub_pred_annotation	prediction_score_max	pred_psdt	proj_UMAP_1	proj_UMAP_2
E7.16.1124	E7	TE	TE	TE	0.978540174451545	15.1675659386759	7.55005168914795	1.81656384468079
E7.16.1125	E7	TE	TE	TE	0.966830509490972	15.7243158514138	6.77701139450073	2.55437326431274
E7.16.1126	E7	TE	TE	TE	0.980181203643894	15.5169723567304	6.98823261260986	2.34647250175476
E7.16.1127	E7	TE	TE	TE	0.96537103104717	15.4927733948048	7.05358028411865	2.27636933326721
E7.16.1128	E7	TE	TE	TE	0.968533468686224	15.7071199304368	6.87784290313721	2.6826810836792
E7.16.1129	E7	TE	TE	TE	0.981778519335848	15.1710116647645	7.59093046188354	1.87075388431549
E7.16.1130	E7	TE	TE	TE	0.986937620229777	15.7333460595935	6.89317846298218	2.57112240791321
E7.16.1131	E7	TE	TE	TE	0.969160756543157	15.0338105745636	7.37203454971313	1.20407545566559
E7.16.1132	E7	TE	TE	TE	0.978576940009404	15.4473452229268	7.07761573791504	2.25254964828491
E7.16.1133	E7	TE	TE	TE	0.949675234901254	15.4979437270548	7.19437408447266	2.24363112449646
E7.16.1134	E7	TE	TE	TE	0.988625799514555	15.4097346445972	7.19742918014526	2.19647979736328
E7.16.1136	E7	TE	TE	TE	0.921163248381393	15.7291363683548	6.75926971435547	2.56517601013184
E7.16.1138	E7	TE	TE	TE	0.968699808240461	15.3502171751555	7.40218067169189	2.09058856964111
E7.16.1139	E7	TE	TE	TE	0.938327683034838	15.6440717340067	6.95759534835815	2.68680429458618
E7.16.1141	E7	TE	TE	TE	0.963327118893319	15.4816605340287	7.15642404556274	2.35873985290527
E7.16.1142	E7	TE	TE	TE	0.968756521250146	15.7071199304368	6.84691858291626	2.62251543998718
E7.16.1143	E7	TE	TE	TE	0.985381463451239	15.5172415977931	6.66649913787842	2.42869091033936
E7.16.1144	E7	TE	CTB	CTB	0.904300076831887	16.3256124091438	5.63102054595947	3.68935036659241
E7.16.1146	E7	TE	TE	TE	0.961466237883391	15.8441744079123	6.54374599456787	2.89474368095398
E7.16.1147	E7	TE	TE	TE	0.985599898387595	15.8391942203235	6.59757280349731	2.83469867706299
E7.16.1148	E7	TE	TE	TE	0.915340066856216	15.799072863742	6.72133111953735	2.61160469055176
E7.16.1149	E7	TE	TE	TE	0.976363605925772	15.5017524292022	7.1328387260437	2.29839086532593
E7.16.1150	E7	TE	TE	TE	0.990860851604801	14.2476977635476	8.28535747528076	0.526371598243713
